iter	Passed	Remaining
0	62	62363
1	62	31427
2	63	21076
3	63	15878
4	64	12759
5	64	10679
6	64	9192
7	65	8077
8	65	7213
9	65	6519
10	66	5956
11	66	5502
12	67	5118
13	68	4801
14	68	4507
15	69	4244
16	69	4009
17	69	3804
18	70	3623
19	70	3456
20	70	3303
21	71	3167
22	71	3040
23	71	2923
24	72	2818
25	72	2727
26	73	2650
27	74	2574
28	74	2501
29	75	2433
30	75	2370
31	76	2307
32	76	2251
33	77	2197
34	77	2146
35	78	2098
36	78	2053
37	79	2007
38	79	1962
39	80	1922
40	80	1883
41	81	1848
42	81	1811
43	81	1778
44	82	1744
45	82	1713
46	82	1682
47	83	1654
48	83	1628
49	84	1603
50	84	1580
51	85	1556
52	85	1535
53	86	1514
54	86	1494
55	87	1472
56	87	1450
57	88	1430
58	88	1408
59	88	1390
60	89	1371
61	89	1354
62	89	1337
63	90	1320
64	90	1306
65	91	1292
66	91	1278
67	92	1264
68	92	1251
69	93	1237
70	93	1223
71	94	1212
72	94	1199
73	94	1185
74	95	1172
75	95	1159
76	95	1146
77	96	1136
78	96	1126
79	96	1115
80	97	1104
81	97	1093
82	97	1081
83	98	1074
84	99	1066
85	99	1056
86	99	1049
87	100	1041
88	101	1033
89	101	1024
90	101	1015
91	102	1007
92	102	1000
93	102	991
94	103	982
95	103	974
96	103	966
97	104	958
98	104	950
99	104	943
100	105	937
101	105	931
102	106	924
103	106	916
104	106	909
105	107	903
106	107	896
107	107	889
108	108	883
109	108	877
110	108	871
111	109	865
112	109	859
113	109	853
114	110	848
115	110	842
116	110	836
117	111	831
118	111	825
119	111	820
120	112	815
121	112	810
122	112	805
123	113	800
124	113	796
125	114	791
126	114	785
127	114	781
128	115	777
129	115	772
130	116	769
131	116	765
132	116	761
133	117	757
134	117	752
135	118	750
136	118	746
137	118	742
138	119	740
139	119	736
140	120	732
141	120	727
142	120	723
143	120	719
144	121	715
145	121	711
146	121	707
147	122	703
148	122	699
149	122	695
150	123	692
151	123	688
152	123	684
153	123	681
154	124	678
155	124	676
156	125	672
157	125	669
158	125	665
159	126	662
160	126	658
161	126	655
162	126	651
163	127	648
164	127	645
165	127	642
166	128	639
167	128	635
168	128	632
169	129	629
170	129	627
171	129	624
172	130	622
173	130	619
174	130	616
175	131	613
176	131	610
177	131	608
178	132	605
179	132	603
180	132	601
181	133	598
182	133	596
183	133	593
184	134	591
185	134	589
186	135	587
187	135	584
188	135	582
189	136	581
190	136	579
191	137	577
192	137	574
193	137	572
194	138	570
195	138	567
196	138	565
197	138	562
198	139	560
199	139	558
200	139	556
201	140	553
202	140	551
203	140	548
204	140	546
205	141	544
206	141	542
207	141	540
208	142	538
209	142	536
210	142	533
211	143	531
212	143	529
213	143	527
214	143	525
215	144	523
216	144	522
217	145	520
218	145	518
219	145	516
220	145	514
221	146	512
222	146	510
223	146	508
224	147	506
225	147	504
226	147	502
227	147	501
228	148	499
229	148	497
230	148	495
231	149	493
232	149	491
233	149	489
234	149	487
235	150	486
236	150	484
237	150	482
238	151	481
239	151	479
240	151	477
241	151	475
242	152	474
243	152	472
244	152	470
245	153	469
246	153	467
247	153	465
248	153	464
249	154	462
250	154	461
251	154	459
252	155	457
253	155	456
254	155	454
255	156	453
256	156	451
257	156	450
258	156	448
259	157	447
260	157	445
261	157	444
262	158	442
263	158	441
264	158	439
265	158	438
266	159	436
267	159	435
268	159	434
269	160	432
270	160	431
271	160	430
272	160	428
273	161	427
274	161	425
275	161	424
276	162	423
277	162	421
278	162	420
279	163	419
280	163	417
281	163	417
282	164	416
283	164	414
284	165	414
285	165	412
286	165	411
287	166	410
288	166	409
289	166	408
290	167	407
291	167	406
292	168	406
293	168	404
294	169	403
295	169	402
296	169	401
297	169	400
298	170	399
299	170	397
300	170	396
301	171	395
302	171	394
303	171	393
304	172	392
305	172	390
306	172	389
307	172	388
308	173	387
309	173	386
310	173	385
311	174	383
312	174	382
313	174	381
314	175	380
315	175	379
316	175	378
317	175	377
318	176	376
319	176	375
320	176	374
321	177	373
322	177	372
323	178	371
324	178	370
325	178	369
326	179	368
327	179	367
328	179	366
329	180	365
330	180	364
331	180	363
332	181	362
333	181	361
334	181	360
335	181	359
336	182	358
337	182	357
338	182	356
339	183	355
340	183	354
341	183	353
342	184	352
343	184	351
344	184	350
345	185	349
346	185	348
347	185	347
348	185	346
349	186	346
350	186	345
351	186	344
352	187	343
353	187	342
354	188	341
355	188	340
356	188	340
357	189	339
358	189	338
359	189	337
360	190	336
361	190	335
362	190	334
363	191	333
364	191	333
365	191	332
366	192	331
367	192	330
368	192	329
369	192	328
370	193	327
371	193	326
372	193	325
373	194	325
374	194	324
375	194	323
376	195	322
377	195	321
378	195	320
379	196	320
380	196	319
381	196	318
382	197	317
383	197	316
384	197	315
385	198	315
386	198	314
387	198	313
388	199	312
389	199	311
390	199	310
391	199	310
392	200	309
393	200	308
394	200	307
395	201	306
396	201	306
397	201	305
398	202	304
399	202	303
400	202	302
401	203	302
402	203	301
403	203	300
404	203	299
405	204	298
406	204	298
407	204	297
408	205	296
409	205	295
410	205	294
411	206	294
412	206	293
413	206	292
414	207	291
415	207	291
416	207	290
417	208	289
418	208	288
419	208	288
420	208	287
421	209	286
422	209	285
423	209	284
424	210	284
425	210	283
426	210	282
427	210	281
428	211	281
429	211	280
430	211	279
431	211	278
432	212	277
433	212	277
434	212	276
435	213	275
436	213	275
437	213	274
438	214	273
439	214	272
440	214	272
441	214	271
442	215	270
443	215	269
444	215	269
445	216	268
446	216	267
447	216	266
448	216	266
449	217	265
450	217	264
451	217	263
452	218	263
453	218	262
454	218	261
455	218	261
456	219	260
457	219	259
458	219	258
459	220	258
460	220	257
461	220	256
462	221	256
463	221	255
464	221	255
465	222	254
466	222	253
467	222	253
468	223	252
469	223	251
470	223	251
471	223	250
472	224	249
473	224	249
474	224	248
475	225	247
476	225	247
477	225	246
478	225	245
479	226	244
480	226	244
481	226	243
482	226	242
483	227	242
484	227	241
485	227	241
486	228	240
487	228	239
488	228	239
489	229	238
490	229	237
491	229	237
492	229	236
493	230	235
494	230	235
495	230	234
496	231	233
497	231	233
498	231	232
499	231	231
500	232	231
501	232	230
502	232	229
503	232	229
504	233	228
505	233	227
506	233	227
507	234	226
508	234	226
509	234	225
510	234	224
511	235	224
512	235	223
513	235	222
514	236	222
515	236	221
516	236	221
517	237	220
518	237	219
519	237	219
520	237	218
521	238	218
522	238	217
523	238	216
524	238	216
525	239	215
526	239	214
527	239	214
528	240	213
529	240	213
530	240	212
531	240	211
532	241	211
533	241	210
534	241	210
535	242	209
536	242	208
537	242	208
538	242	207
539	243	207
540	243	206
541	243	205
542	244	205
543	244	204
544	244	204
545	244	203
546	245	203
547	245	202
548	245	201
549	246	201
550	246	200
551	246	200
552	246	199
553	247	199
554	247	198
555	247	197
556	248	197
557	248	196
558	248	196
559	248	195
560	249	195
561	249	194
562	249	193
563	250	193
564	250	193
565	251	192
566	251	192
567	252	191
568	252	191
569	253	190
570	253	190
571	253	189
572	254	189
573	254	188
574	254	188
575	255	187
576	255	187
577	255	186
578	256	186
579	256	185
580	256	185
581	257	184
582	257	184
583	257	183
584	258	183
585	258	182
586	258	182
587	259	181
588	259	180
589	259	180
590	259	179
591	260	179
592	260	178
593	260	178
594	260	177
595	261	177
596	261	176
597	261	175
598	262	175
599	262	174
600	262	174
601	262	173
602	263	173
603	263	172
604	263	172
605	264	171
606	264	171
607	264	170
608	264	170
609	265	169
610	265	169
611	265	168
612	266	167
613	266	167
614	266	166
615	266	166
616	267	165
617	267	165
618	267	164
619	268	164
620	268	163
621	268	163
622	269	162
623	269	162
624	269	161
625	269	161
626	270	160
627	270	160
628	270	159
629	270	159
630	271	158
631	271	158
632	271	157
633	272	157
634	272	156
635	272	156
636	273	155
637	273	155
638	273	154
639	274	154
640	274	153
641	274	153
642	275	152
643	275	152
644	275	151
645	276	151
646	276	150
647	276	150
648	277	149
649	277	149
650	277	149
651	278	148
652	278	148
653	279	147
654	279	147
655	279	146
656	280	146
657	280	145
658	280	145
659	281	144
660	281	144
661	281	143
662	282	143
663	282	143
664	283	142
665	283	142
666	283	141
667	284	141
668	284	140
669	285	140
670	285	139
671	285	139
672	285	138
673	286	138
674	286	137
675	286	137
676	287	136
677	287	136
678	287	136
679	288	135
680	288	135
681	288	134
682	289	134
683	289	133
684	289	133
685	290	132
686	290	132
687	291	131
688	291	131
689	291	131
690	291	130
691	292	130
692	292	129
693	293	129
694	293	128
695	293	128
696	294	127
697	294	127
698	294	126
699	294	126
700	295	125
701	295	125
702	295	125
703	296	124
704	296	124
705	296	123
706	297	123
707	297	122
708	297	122
709	298	121
710	298	121
711	298	120
712	299	120
713	299	119
714	299	119
715	300	118
716	300	118
717	300	118
718	300	117
719	301	117
720	301	116
721	301	116
722	302	115
723	302	115
724	302	114
725	303	114
726	303	113
727	303	113
728	303	112
729	304	112
730	304	112
731	304	111
732	305	111
733	305	110
734	305	110
735	306	109
736	306	109
737	306	108
738	307	108
739	307	108
740	307	107
741	308	107
742	308	106
743	308	106
744	309	105
745	309	105
746	309	104
747	309	104
748	310	103
749	310	103
750	310	103
751	311	102
752	311	102
753	311	101
754	312	101
755	312	100
756	312	100
757	313	99
758	313	99
759	313	99
760	314	98
761	314	98
762	314	97
763	315	97
764	315	96
765	315	96
766	315	95
767	316	95
768	316	95
769	316	94
770	317	94
771	317	93
772	317	93
773	318	92
774	318	92
775	318	92
776	318	91
777	319	91
778	319	90
779	319	90
780	320	89
781	320	89
782	320	88
783	321	88
784	321	88
785	321	87
786	321	87
787	322	86
788	322	86
789	322	85
790	323	85
791	323	84
792	323	84
793	323	84
794	324	83
795	324	83
796	324	82
797	325	82
798	325	81
799	325	81
800	325	80
801	326	80
802	326	80
803	326	79
804	327	79
805	327	78
806	327	78
807	327	77
808	328	77
809	328	77
810	328	76
811	329	76
812	329	75
813	329	75
814	329	74
815	330	74
816	330	74
817	330	73
818	331	73
819	331	72
820	331	72
821	332	71
822	332	71
823	332	71
824	332	70
825	333	70
826	333	69
827	333	69
828	334	68
829	334	68
830	335	68
831	335	67
832	335	67
833	336	66
834	336	66
835	336	66
836	337	65
837	337	65
838	337	64
839	338	64
840	338	64
841	338	63
842	339	63
843	339	62
844	340	62
845	340	61
846	340	61
847	341	61
848	341	60
849	341	60
850	342	59
851	342	59
852	342	59
853	342	58
854	343	58
855	343	57
856	343	57
857	343	56
858	344	56
859	344	56
860	345	55
861	345	55
862	345	54
863	345	54
864	346	54
865	346	53
866	347	53
867	347	52
868	348	52
869	348	52
870	348	51
871	349	51
872	349	50
873	349	50
874	349	49
875	350	49
876	350	49
877	350	48
878	351	48
879	351	47
880	351	47
881	351	47
882	352	46
883	352	46
884	352	45
885	353	45
886	353	45
887	353	44
888	353	44
889	354	43
890	354	43
891	354	42
892	355	42
893	355	42
894	355	41
895	355	41
896	356	40
897	356	40
898	356	40
899	357	39
900	357	39
901	357	38
902	357	38
903	358	38
904	358	37
905	358	37
906	359	36
907	359	36
908	359	36
909	360	35
910	360	35
911	360	34
912	361	34
913	361	34
914	361	33
915	362	33
916	362	32
917	363	32
918	363	32
919	363	31
920	364	31
921	364	30
922	364	30
923	364	30
924	365	29
925	365	29
926	365	28
927	366	28
928	366	28
929	366	27
930	366	27
931	367	26
932	367	26
933	367	25
934	368	25
935	368	25
936	368	24
937	369	24
938	369	24
939	370	23
940	370	23
941	370	22
942	371	22
943	371	22
944	372	21
945	372	21
946	372	20
947	372	20
948	373	20
949	373	19
950	373	19
951	374	18
952	374	18
953	374	18
954	374	17
955	375	17
956	375	16
957	375	16
958	376	16
959	376	15
960	376	15
961	376	14
962	377	14
963	377	14
964	377	13
965	378	13
966	378	12
967	378	12
968	379	12
969	379	11
970	379	11
971	380	10
972	380	10
973	380	10
974	380	9
975	381	9
976	381	8
977	382	8
978	382	8
979	382	7
980	382	7
981	383	7
982	383	6
983	383	6
984	384	5
985	384	5
986	384	5
987	385	4
988	385	4
989	385	3
990	386	3
991	386	3
992	386	2
993	386	2
994	387	1
995	387	1
996	387	1
997	388	0
998	388	0
999	388	0
